Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,9.000000,9.162500,8.937500,9.010000,7.797803,25150000
2010-01-05,8.980000,9.260000,8.980000,9.252500,8.007678,21218400
2010-01-06,9.262500,9.325000,9.192500,9.290000,8.040134,14987600
2010-01-07,9.687500,9.935000,9.562500,9.765000,8.451222,54589200
2010-01-08,9.580000,9.655000,9.507500,9.637500,8.340878,23387600
2010-01-11,9.702500,9.712500,9.565000,9.622500,8.327896,14601600
2010-01-12,9.575000,9.587500,9.465000,9.535000,8.252172,11583200
2010-01-13,9.545000,9.592500,9.477500,9.567500,8.280295,10988400
2010-01-14,9.575000,9.575000,9.402500,9.450000,8.178603,10920000
2010-01-15,9.425000,9.530000,9.277500,9.322500,8.068260,15785600
2010-01-19,9.300000,9.472500,9.300000,9.470000,8.195914,10318000
2010-01-20,9.417500,9.417500,9.287500,9.352500,8.094227,8459200
2010-01-21,9.380000,9.402500,9.200000,9.212500,7.973059,16357200
2010-01-22,9.205000,9.330000,9.165000,9.185000,7.949256,18534400
2010-01-25,9.265000,9.320000,9.192500,9.252500,8.007678,12041200
2010-01-26,9.240000,9.612500,9.240000,9.520000,8.239192,24568800
2010-01-27,9.527500,9.647500,9.457500,9.597500,8.306259,16262800
2010-01-28,9.610000,9.657500,9.525000,9.557500,8.271639,21763600
2010-01-29,9.605000,9.712500,9.500000,9.502500,8.224040,17224000
2010-02-01,9.527500,9.695000,9.527500,9.625000,8.330059,20108800
2010-02-02,9.692500,9.810000,9.687500,9.807500,8.488002,23249200
2010-02-03,9.787500,9.810000,9.632500,9.690000,8.386313,18726400
2010-02-04,9.687500,9.722500,9.535000,9.537500,8.254333,20372800
2010-02-05,9.555000,9.622500,9.425000,9.577500,8.288954,19836000
2010-02-08,9.587500,9.590000,9.447500,9.447500,8.176438,10746800
2010-02-09,9.532500,9.537500,9.422500,9.477500,8.228533,11654400
2010-02-10,9.482500,9.530000,9.350000,9.402500,8.163420,16517600
2010-02-11,9.402500,9.412500,9.312500,9.380000,8.143881,18852400
2010-02-12,9.292500,9.417500,9.280000,9.397500,8.159074,14347200
