Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,61.189999,61.520000,60.639999,61.240002,43.941441,6585900
2010-01-05,61.000000,62.099998,60.900002,61.980000,44.472408,8886000
2010-01-06,61.990002,62.470001,61.230000,61.360001,44.027542,9998000
2010-01-07,61.349998,61.380001,60.529999,60.970001,43.747704,10792000
2010-01-08,60.759998,60.820000,60.270000,60.770000,43.604195,8674700
2010-01-11,60.680000,60.810001,60.099998,60.700001,43.553978,6461200
2010-01-12,60.520000,61.680000,60.500000,61.549999,44.163876,9081800
2010-01-13,61.410000,62.340000,61.410000,62.049999,44.522636,7380100
2010-01-14,62.020000,62.919998,61.759998,62.799999,45.060780,7211600
2010-01-15,62.610001,62.910000,61.820000,62.290001,44.694836,8361200
2010-01-19,62.230000,62.410000,61.970001,62.330002,44.723545,5615800
2010-01-20,62.090000,62.150002,61.439999,61.950001,44.450874,5606000
2010-01-21,62.009998,62.160000,60.740002,60.939999,43.726166,7121500
2010-01-22,60.750000,61.240002,60.310001,60.389999,43.331543,7229000
2010-01-25,60.700001,60.700001,60.080002,60.230000,43.216728,4903800
2010-01-26,60.099998,60.529999,59.820000,60.250000,43.231087,5001700
2010-01-27,60.049999,60.389999,59.599998,60.290001,43.259796,6145900
2010-01-28,60.299999,60.500000,59.500000,59.740002,42.865143,9285900
2010-01-29,59.840000,60.360001,59.119999,59.619999,42.779045,8127200
2010-02-01,59.930000,60.750000,59.520000,60.700001,43.553978,7303200
2010-02-02,60.680000,61.279999,60.340000,61.150002,43.876858,6296700
2010-02-03,60.919998,61.400002,60.560001,61.290001,43.977306,4863000
2010-02-04,60.830002,60.930000,59.619999,59.639999,42.793392,6920300
2010-02-05,59.509998,59.790001,58.950001,59.509998,42.700104,7347800
2010-02-08,59.599998,59.660000,58.750000,58.959999,42.305473,7047700
2010-02-09,59.290001,60.480000,59.290001,60.049999,43.087574,7940200
2010-02-10,59.959999,60.669998,59.509998,60.380001,43.324364,10917200
2010-02-11,60.869999,61.700001,60.500000,61.189999,43.905556,14391100
